raw_data,is_credit,date,amount,comments,bank,source
31-may-23 74766513151321640252209 amazon http://www.am in 0.00 99.00,0,31-may-23,99.0,   may                            amazon http   www am in           ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
03-jun-23 74332743155315412704268 amazon mumbai in 0.00 275.50,0,03-jun-23,275.5,   jun                            amazon mumbai in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"04-jun-23 74766513155322906994530 amazon http://www.am in 0.00 2,200.00",0,04-jun-23,2200.0,   jun                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"08-jun-23 74766513159322134422359 amazon http://www.am in 0.00 -2,200.00",0,08-jun-23,-2200.0,   jun                            amazon http   www am in               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"10-jun-23 74766513161322245952209 amazon http://www.am in 0.00 -1,650.00",0,10-jun-23,-1650.0,   jun                            amazon http   www am in               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-jun-23 74766513162323309329291 amazon http://www.am in 0.00 799.00,0,11-jun-23,799.0,   jun                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"11-jun-23 74766513162323309333293 amazon http://www.am in 0.00 1,037.00",0,11-jun-23,1037.0,   jun                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-jun-23 principal amount amortization - <3/3> 0.00 918.53,0,11-jun-23,918.53,   jun    principal amount amortization                    ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-jun-23 igst-ci@18% 0.00 2.07,0,11-jun-23,2.07,   jun    igst ci              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-jun-23 interest amount amortization - <3/3> 0.00 11.47,0,11-jun-23,11.47,   jun    interest amount amortization                   ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"20-jun-23 74766513171324823245152 amazon http://www.am in 0.00 1,236.00",0,20-jun-23,1236.0,   jun                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"21-jun-23 74766513172324881612029 amazon http://www.am in 0.00 1,199.00",0,21-jun-23,1199.0,   jun                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
25-jun-23 74766513176325119809952 amazon http://www.am in 0.00 899.00,0,25-jun-23,899.0,   jun                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"27-jun-23 74766513178325224841625 amazon http://www.am in 0.00 2,360.55",0,27-jun-23,2360.55,   jun                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
28-jun-23 74766513179325300247589 amazon.in - grocery http://www.am 0.00 100.00,0,28-jun-23,100.0,   jun                            amazon in   grocery http   www am            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
30-jun-23 74766513181325421928196 amazon http://www.am in 0.00 299.00,0,30-jun-23,299.0,   jun                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"30-jun-23 318117181149 upi payment received 0.00 -2,551.45",0,30-jun-23,-2551.45,   jun                 upi payment received               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"01-jul-23 74766513182325456158767 amazon http://www.am in 0.00 -1,199.00",0,01-jul-23,-1199.0,   jul                            amazon http   www am in               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"02-jul-23 74766513183326517883517 amazon http://www.am in 0.00 1,689.00",0,02-jul-23,1689.0,   jul                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"04-jul-23 74766513185326631503502 amazon http://www.am in 0.00 1,618.00",0,04-jul-23,1618.0,   jul                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
07-jul-23 74766513188326806053587 amazon.in - grocery http://www.am 0.00 -100.00,0,07-jul-23,-100.0,   jul                            amazon in   grocery http   www am             ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"10-jul-23 74766513191327986986922 amazon http://www.am in 0.00 3,333.00",0,10-jul-23,3333.0,   jul                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"10-jul-23 74766513191327986989389 amazon http://www.am in 0.00 1,207.84",0,10-jul-23,1207.84,   jul                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
10-jul-23 74766513191327987008197 amazon http://www.am in 0.00 -999.00,0,10-jul-23,-999.0,   jul                            amazon http   www am in             ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
